headline,date,link
'Dukes of Hazzard' star Tom Wopat pleads guilty in touching case,2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/dukes-hazzard-star-tom-wopat-pleads-guilty-in-touching-case.html
Best and worst celebrity beach bodies (okay mostly best),2018-07-24T00:00:00,http://www.foxnews.com/entertainment/slideshow/2018/07/24/best-and-worst-celebrity-beach-bodies-okay-mostly-best.html
Four-month old baby undergoes open-heart surgery after symptoms are misdiagnosed multiple times,2018-07-23T00:00:00,http://www.foxnews.com/health/2018/07/23/four-month-old-baby-undergoes-open-heart-surgery-after-symptoms-are-misdiagnosed-multiple-times.html
"Schools, fearing threats, look to facial recognition technology for additional security",2018-07-23T00:00:00,http://www.foxnews.com/tech/2018/07/23/schools-fearing-threats-look-to-facial-recognition-technology-for-additional-security.html
Facebook’s Zuckerberg in Hot Water Again,2018-07-19T00:00:00,https://radio.foxnews.com/2018/07/19/media-buzzmeter-07-19-2018/
'Game of Thrones' star Maisie Williams teases tattoo linked to hit HBO show,2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/game-thrones-star-maisie-williams-teases-tattoo-linked-to-hit-hbo-show.html
Woman says she 'helped save six lives' after posting heartfelt messages on UK bridge,2018-07-22T00:00:00,http://www.foxnews.com/world/2018/07/22/woman-says-helped-save-six-lives-after-posting-heartfelt-messages-on-uk-bridge.html
Tesla Rocker Grooves Guitars and Paintbrushes,2018-07-10T00:00:00,https://radio.foxnews.com/2018/07/10/tesla-rocker-grooves-guitars-and-paintbrushes/
Toby Keith's daughter Krystal: He's 'more normal than people expect him to be',2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/toby-keiths-daughter-krystal-hes-more-normal-than-people-expect-him-to-be.html
Abdu Murray – Saving Truth,2018-07-23T00:00:00,https://radio.foxnews.com/2018/07/23/abdu-murray-saving-truth/
"TONIGHT, 6pm ET: Bret Baier Confronts Nicaraguan Pres. on Alleged Murders of Citizens",2018-07-23T00:00:00,http://insider.foxnews.com/2018/07/23/bret-baier-interviews-nicaraguan-president-daniel-ortega-special-report
